id,filename,source_lines,initial_category,classifier_category,classifier_confidence,known_vulnerabilities,confirmed_category,exploitability,loss_percentage,notes
amm_dex_001,smart_billions.sol,772,amm_dex,token,41.3%,,,,,
amm_dex_002,lucky_doubler.sol,192,amm_dex,vault_yield,100.0%,,,,,
amm_dex_003,incorrect_constructor_name1.sol,35,amm_dex,vault_yield,80.0%,access_control,,,,
amm_dex_004,0x663e4229142a27f00bafb5d087e1e730648314c3.sol,2470,amm_dex,token,69.5%,unchecked_low_level_calls,,,,
amm_dex_005,king_of_the_ether_throne.sol,183,amm_dex,staking_rewards,100.0%,unchecked_low_level_calls,,,,
amm_dex_006,24.sol,748,amm_dex,token,100.0%,,,,,
amm_dex_007,29.sol,317,amm_dex,token,100.0%,,,,,
amm_dex_008,40.sol,470,amm_dex,token,94.4%,,,,,
amm_dex_009,21.sol,354,amm_dex,vault_yield,74.4%,,,,,
amm_dex_010,20.sol,313,amm_dex,amm_dex,86.7%,,,,,
amm_dex_011,blackjack.sol,309,amm_dex,other,100.0%,,,,,
amm_dex_012,random_number_generator.sol,27,amm_dex,other,100.0%,,,,,
amm_dex_013,etheraffle.sol,175,amm_dex,token,100.0%,,,,,
amm_dex_014,guess_the_random_number.sol,30,amm_dex,token,100.0%,,,,,
amm_dex_015,lottery.sol,69,amm_dex,other,100.0%,,,,,
amm_dex_016,old_blockhash.sol,43,amm_dex,token,100.0%,,,,,
amm_dex_017,integer_overflow_multitx_multifunc_feasible.sol,28,amm_dex,other,100.0%,arithmetic,,,,
amm_dex_018,timelock.sol,33,amm_dex,vault_yield,61.5%,arithmetic,,,,
amm_dex_019,tokensalechallenge.sol,36,amm_dex,token,100.0%,arithmetic,,,,
amm_dex_020,integer_overflow_multitx_onefunc_feasible.sol,25,amm_dex,other,100.0%,arithmetic,,,,
amm_dex_021,integer_overflow_mapping_sym_1.sol,19,amm_dex,other,100.0%,arithmetic,,,,
amm_dex_022,integer_overflow_benign_1.sol,20,amm_dex,other,100.0%,arithmetic,,,,
amm_dex_023,integer_overflow_1.sol,25,amm_dex,other,100.0%,arithmetic,,,,
amm_dex_024,overflow_simple_add.sol,17,amm_dex,vault_yield,100.0%,arithmetic,,,,
amm_dex_025,token.sol,31,amm_dex,token,100.0%,arithmetic,,,,
lending_026,list_dos.sol,125,lending,lending,100.0%,denial_of_service,,,,
lending_027,0xe09b1ab8111c2729a76f16de96bc86a7af837928.sol,377,lending,vault_yield,66.7%,unchecked_low_level_calls,,,,
lending_028,18.sol,411,lending,token,45.9%,,,,,
lending_029,37.sol,230,lending,token,86.2%,,,,,
lending_030,48.sol,237,lending,token,86.2%,,,,,
lending_031,blackjack.sol,309,lending,other,100.0%,,,,,
lending_032,random_number_generator.sol,27,lending,other,100.0%,,,,,
lending_033,etheraffle.sol,175,lending,token,100.0%,,,,,
lending_034,guess_the_random_number.sol,30,lending,token,100.0%,,,,,
lending_035,lottery.sol,69,lending,other,100.0%,,,,,
lending_036,old_blockhash.sol,43,lending,token,100.0%,,,,,
lending_037,integer_overflow_multitx_multifunc_feasible.sol,28,lending,other,100.0%,arithmetic,,,,
lending_038,timelock.sol,33,lending,vault_yield,61.5%,arithmetic,,,,
lending_039,tokensalechallenge.sol,36,lending,token,100.0%,arithmetic,,,,
lending_040,integer_overflow_multitx_onefunc_feasible.sol,25,lending,other,100.0%,arithmetic,,,,
lending_041,integer_overflow_mapping_sym_1.sol,19,lending,other,100.0%,arithmetic,,,,
lending_042,integer_overflow_benign_1.sol,20,lending,other,100.0%,arithmetic,,,,
lending_043,integer_overflow_1.sol,25,lending,other,100.0%,arithmetic,,,,
lending_044,overflow_simple_add.sol,17,lending,vault_yield,100.0%,arithmetic,,,,
lending_045,token.sol,31,lending,token,100.0%,arithmetic,,,,
lending_046,BECToken.sol,307,lending,token,100.0%,arithmetic,,,,
lending_047,integer_overflow_minimal.sol,20,lending,other,100.0%,arithmetic,,,,
lending_048,integer_overflow_add.sol,20,lending,other,100.0%,arithmetic,,,,
lending_049,overflow_single_tx.sol,52,lending,other,100.0%,arithmetic,,,,
lending_050,integer_overflow_mul.sol,20,lending,other,100.0%,arithmetic,,,,
vault_yield_051,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,77,vault_yield,vault_yield,100.0%,reentrancy,,,,
vault_yield_052,0x8c7777c45481dba411450c228cb692ac3d550344.sol,77,vault_yield,vault_yield,100.0%,reentrancy,,,,
vault_yield_053,0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8.sol,94,vault_yield,vault_yield,50.0%,unchecked_low_level_calls,,,,
vault_yield_054,0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c.sol,42,vault_yield,vault_yield,94.1%,unchecked_low_level_calls,,,,
vault_yield_055,0xbaa3de6504690efb064420d89e871c27065cdd52.sol,42,vault_yield,vault_yield,94.1%,unchecked_low_level_calls,,,,
vault_yield_056,0x958a8f594101d2c0485a52319f29b2647f2ebc06.sol,148,vault_yield,vault_yield,44.4%,unchecked_low_level_calls,,,,
vault_yield_057,0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77.sol,42,vault_yield,vault_yield,94.1%,unchecked_low_level_calls,,,,
vault_yield_058,blackjack.sol,309,vault_yield,other,100.0%,,,,,
vault_yield_059,random_number_generator.sol,27,vault_yield,other,100.0%,,,,,
vault_yield_060,etheraffle.sol,175,vault_yield,token,100.0%,,,,,
vault_yield_061,guess_the_random_number.sol,30,vault_yield,token,100.0%,,,,,
vault_yield_062,lottery.sol,69,vault_yield,other,100.0%,,,,,
vault_yield_063,old_blockhash.sol,43,vault_yield,token,100.0%,,,,,
